id,count_9296,count_9701,count_0206,count_0711
17083,1,,,2
17085,,1,50,17
17087,2,,,1
17089,6,4,15,39
17091,,,2,1
17093,,,1,1
17095,,1,,1
17097,5,3,22,44
17099,6,,5,15
17101,,,1,
17103,1,,5,4
17105,,,1,
17107,1,,,
17109,,,,
17111,11,1,28,34
17113,1,3,1,13
17115,,,1,3
17117,1,,1,
17119,1,2,1,2
17121,,,2,3
17123,,,,2
17125,,,,
17127,,,,
17129,,,,
17131,,,2,3
17133,,,,
17135,,,,1
17137,1,2,1,
17139,,1,1,
17141,1,8,18,23
17143,,1,8,14
17145,1,,1,
17147,,,,
17149,,4,4,7
17151,,,,
17153,1,1,,
17155,,,1,1
17157,1,,,
17159,,3,,
17161,5,5,11,12
17163,,1,1,2
17165,1,,1,
17167,3,1,3,5
17169,,,,
17171,,,,
17173,,1,2,
17175,,,,3
17177,,2,2,7
17179,2,1,1,11
17181,5,3,,2
17183,1,,1,3
17185,,,,
17187,,,,4
17189,1,,,
17191,,,1,
17193,,,,
17195,3,3,1,3
17197,2,3,29,31
17199,6,1,,1
17201,3,8,23,49
17203,1,1,1,6
18000,2,4,,30
18001,1,3,1,1
18003,2,11,6,9
18005,,,1,
18007,2,,,1
18009,,,,
18011,2,3,1,2
18013,,,,
18015,,,,2
18017,1,,4,2
18019,,1,1,
18021,,1,1,1
18023,,,,1
18025,,3,,1
18027,,1,,1
18029,2,,,
18031,,,,
18033,1,,1,
18035,1,,1,
18037,1,,,
18039,1,,5,5
18041,,1,,
18043,,4,1,1
18045,,,1,4
18047,,1,,
18049,,,,1
18051,2,,,
18053,,1,1,
18055,1,1,,3
18057,1,4,3,17
18059,1,,,
18061,,2,,
18063,1,2,4,1
18065,2,,,
18067,6,3,2,5
18069,,1,,
18071,,1,,
18073,,,2,5
18075,1,,2,
18077,,1,,
18079,,2,1,
18081,5,1,2,3
18083,,,,
18085,,,1,2
18087,,1,1,2
18089,3,7,10,19
18091,,2,11,23
18093,1,5,,1
18095,3,3,2,1
18097,8,14,10,5
18099,,1,2,11
18101,,1,1,
18103,2,,1,
18105,1,6,7,4
18107,,1,,8
18109,4,2,,3
18111,,,,1
18113,2,1,1,
18115,,,,
18117,,1,,
18119,1,,,5
18121,1,,,2
18123,5,1,,3
18125,,,,1
18127,1,4,13,37
18129,,,,
18131,,1,3,4
18133,1,1,,1
18135,1,1,,
18137,1,1,,1
18139,,,1,
18141,7,4,10,31
18143,,,1,
18145,3,1,,
18147,2,1,1,
18149,,2,,12
18151,1,1,1,
18153,,,2,
18155,,,,
18157,1,6,5,8
18159,1,1,,1
18161,1,,,
18163,20,8,4,7
18165,,,,
18167,,3,,4
18169,,,,
18171,,,3,3
18173,7,1,2,4
18175,,5,2,
18177,6,1,,
18179,2,1,,1
18181,,1,,
18183,2,,1,
19000,,,,
19001,,,1,
19003,,,,
19005,3,7,17,18
19007,,,1,
19009,,,,
19011,1,6,5,2
19013,2,4,9,6
19015,,1,3,1
19017,1,1,2,2
19019,,,2,2
19021,1,1,,
19023,,,1,1
19025,,,,
19027,1,1,1,
19029,,,,1
19031,,1,3,2
19033,3,1,2,
19035,,3,3,
19037,,,2,
19039,,,,1
19041,,,,
19043,2,5,15,36
19045,,3,2,6
19047,,1,,
19049,,,2,5
19051,5,2,,
19053,,1,1,1
19055,,,5,5
19057,4,2,3,3
19059,1,1,2,1
19061,1,1,19,28
19063,,,,
19065,,2,8,14
19067,,1,1,
19069,,,,1
19071,,,2,
19073,,1,2,1
19075,,,,
19077,1,,1,
19079,,,2,3
19081,,,,
19083,,,3,2
19085,1,,,
19087,,1,1,1
19089,,1,3,3
19091,1,,,
19093,,,,
19095,1,5,8,17
19097,,1,5,12
19099,3,3,5,2
